UPRN,Unique Asset ID,Name of Building/Land,"Street
No.",Street Name,Locality,Postal Town,Postcode,Easting,Northing,Ownership,"occupied by
local
authority*
(physical
occupation
of the","ground
leasehold",leasehold,Licence,vacant,Other,"Land or land &
building"
200003108843,STO/IN/04/28,Unit 28 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379718,Y: 205659,Leasehold,Yes,,,,,,Land & buildings
200003108869,STO/IN/04/29,Unit 29 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379752,Y: 205648,Leasehold,,,Sub lease out,,,,Land & buildings
100121373935,STO/IN/04/30,Unit 30 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379750,Y: 205640,Leasehold,,,Sub lease out,,,,Land & buildings
200003110085,STO/IN/04/31,Unit 31 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379749,Y: 205632,Leasehold,,,Sub lease out,,,,Land & buildings
10090802745,STO/IN/04/32,Unit 32 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379747,Y: 205626,Leasehold,,,Sub lease out,,,,Land & buildings
200003106116,STO/IN/04/33,Unit 33 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379742,Y: 205617,Leasehold,,,Sub lease out,,,,Land & buildings
200003108870,STO/IN/04/34,Unit 34 Oldends Lane Ind Estate,,Stonedale Road,,Stonehouse,GL10 3RQ,X: 379741,Y: 205602,Leasehold,,,Sub lease out,,,,Land & buildings
,NAI/SH/01,Old Market Precinct,,Old Market,Nailsworth,Stroud,,X: 384885,Y: 199542,Freehold,,Yes,,,,,Land
10014283592,DUR/DL/05,May Lane - land at,,May Lane,,Dursley,,X: 375355,Y:198024,Freehold,,,Lease out,,,,Land
,DUR/LA/03/01,Prospect Place - land at,,May Lane,,Dursley,,X: 375443,Y:198131,Freehold,,,,,Yes,,Land
,STR/AG/01,Salmon Springs - land at,,Painswick Road,,Stroud,,X: 384779,Y: 206139,Freehold,,,,,,,Land
,DUR/DL/06,Littlecombe - land at,,Lister Road,,Dursley,,X: 375647,Y: 198916,Freehold,,,,,,Development Agreement,Land & buildings
10014281839,STR/MI/00,Capel Mills - land at,,Dr Newtons Way,,Stroud,,X: 385275,Y: 204728,Freehold,,,,,Yes,,Land
100120504648,DUR/DL/04/02,11/11A May Lane,11/11A,May Lane,,Dursley,GL11 4JW,X: 375420,Y: 198124,Freehold,,,,,,,Land & buildings
10090803133,STO/LA/06,The former Ship Inn site,,Bristol Road,,Stonehouse,GL10 2BJ,X: 380543,Y: 204851,Freehold,,,,,Yes,,Land
200003109558,NYM/CO/01,Woodchester Mansion,,Woodchester Park,Nympsfield,Stonehouse,GL10 3TS,X: 380910,Y: 201366,Freehold,,,Lease out,,,,Land & buildings
10014284756,STR/PA/01,Park Gardens War Memorial,,Slad Road,,Stroud,,X: 385261,Y: 205489,Freehold,,,,,,Management Agreement in place,Land & buildings
10009416900,NAI/LA/06/01,The Fountain,,Fountain Street,Nailsworth,Stroud,GL6 0BL,X: 385014,Y:199698,Freehold,,,,,,,Land & buildings
10014280196,STR/CO/03,Sims Clock,,Russell Street,,Stroud,GL5 3AQ,X: 385088,Y: 205120,Freehold,,,,,,Management Agreement in place,Land & buildings
10014282009,STR/PA/01,Bank Gardens,,Lansdown,,Stroud,,X: 385157,Y: 205290,Freehold,,,,,,Management Agreement in place,Land
10014283577,STR/CO/02,The Arch,,Farmhill Lane,Paganhill,Stroud,GL5 4DW,X: 383791,Y: 205763,Freehold,,,,,,,Land & buildings
,DUR/LA/04,Boulton lane - land at,,Boulton Lane,,Dursley,,X: 375653,Y: 198006,Freehold,,,,,Yes,,Land
,STO/LA/05,Ryeford Bridge - land adjacent,,Ryeford Road,North Ryeford,Stonehouse,,X: 381333,Y: 204640,Freehold,,,,Licence out,,,Land
10014283578,HOR/CE/01,Horsley Cemetery (part),,The Street,Horsley,Stroud,,X: 383701,Y: 198061,Freehold,,,,,,Management Agreement in place,Land
,DUR/LA/05,"Holywell Orchard, Dursley",,Bramble Drive,,Dursley,,X: 375148,Y: 199365,Freehold,,,,Licence out,,,Land
,,Blackwell Close Public Open sapce,,Blackwell Close,,Stonehouse,,X: 380624,Y: 205971,Freehold,,,,,,,Land
100121252050,CAM/SH/01/01,"Shop 1, Phillimore Road",1,Phillimore Road,Cam,Dursley,GL11 6LQ,X: 374188,Y: 199619,Freehold,,,Lease out,,,,Land & buildings
100120505019,CAM/SH/01/03,"Shop 3, Phillimore Road",3,Phillimore Road,Cam,Dursley,GL11 6LQ,X: 374187,Y: 199631,Freehold,,,Lease out,,,,Land & buildings
100121251952,CAM/SH/01/05,"Shop 5, Phillimore Road",5,Phillimore Road,Cam,Dursley,GL11 6LQ,X: 374186,Y: 199638,Freehold,,,Lease out,,,,Land & buildings
100121251953,CAM/SH/01/07,"Shop 7, Phillimore Road",7,Phillimore Road,Cam,Dursley,GL11 6LQ,X: 374184,Y: 199645,Freehold,,,Lease out,,,,Land & buildings
100121256618,NAI/SH/01,"5/5a Lawnside, Forest Green",5/5a,Lawnside,Nailsworth,Stroud,GL6 0ER,X: 384064,Y: 199882,Freehold,,,Lease out,,,,Land & buildings
200003108849,STO/SH/01/01,"Shop 1, Park Parade",1,Park Road,,Stonehouse,GL10 2DB,X: 380164,Y: 205623,Freehold,,,Lease out,,,,Land & buildings
200003106222,STO/SH/01/02,"Shop 2 & 3, Park Parade",2-3,Park Road,,Stonehouse,GL10 2DB,X: 380159,Y: 205613,Freehold,,,Lease out,,,,Land & buildings
200003108850,STO/SH/01/04,"Shop 4, Park Parade",4,Park Road,,Stonehouse,GL10 2DB,X: 380157,Y: 205604,Freehold,,,Lease out,,,,Land & buildings
100121253878,STR/SH/28,Shop 28 Daniels Road,28,Daniels Road,,Stroud,GL5 1HY,X: 386586,Y: 205014,Freehold,,,Lease out,,,,Land & buildings
100121252176,WOT/SH/01,2/2A Pitman Place,2,Pitman Place,,Wotton-Under-Edge,GL12 7LB,X: 376248,Y: 192854,Freehold,,,Lease out,,,,Land & buildings
100120519235,CAI/SH/01/03,Shop 1/3 Queens Drive,1-3,Queens Drive,Cashes Green,Stroud,GL5 4NR,X: 383063,Y: 205496,Freehold,,,Lease out,,,,Land & buildings
100121255193,CAI/SH/01/05,Shop 5 Queens Drive,5,Queens Drive,Cashes Green,Stroud,GL5 4NR,X: 383068,Y: 205502,Freehold,,,Lease out,,,,Land & buildings
100121255194,CAI/SH/01/07,Shop 7 Queens Drive,7,Queens Drive,Cashes Green,Stroud,GL5 4NR,X: 383074,Y: 205505,Freehold,,,Lease out,,,,Land & buildings
10014284236,CAI/PL/02,Elm Road playing field,,"Elm Road,",Cashes Green,Stroud,,X: 383084,Y: 205876,Freehold,,,,,,,Land
,MIN/PL/01,Albert Road - playing field,,Albert Road,Brimscombe,Stroud,,X: 386543,Y: 202366,Freehold,,,Lease out,,,,Land
10014284220,BER/PL/01,Park View Road - land to the rear of,,Park View Road,,Berkeley,,X: 367962,Y: 199172,Freehold,,,Lease out of part,,,,Land
10014284154,CAM/PL/04,Springfields play area,,Springfields,Cam,Dursley,,X: 374476,Y: 199595,Freehold,,,,,,,Land
10014284166,COA/PL/01,Betworthy Estate open space,,Betworthy,Cam,Coaley,,X: 377100,Y: 201552,Freehold,,,,,,,Land
10001168191,DUR/PL03,Highfields playing field,,School Road,,Dursley,,X: 376538,Y: 197582,Freehold,,,,,,,Land
,HAM/PL/01,Court Mead playing field,,Court Mead,Stone,Berkeley,,X: 368122,Y: 195169,Freehold,,,Lease out,,,,Land
,STR/PL/02,The Leazes recreation ground,,Far Leaze,,Stroud,,X: 385726,Y: 205227,Freehold,,,,,,Management Agreement,Land
,STR/PL/03,Bisley Old Road recreation ground,,Bisley Old Road,,Stroud,,X: 386775,Y: 205139,Freehold,,,Lease out of part,,,,Land
10014284224,,Queens Drive play area,,Queens Drive,Cashes Green,Stroud,,X: 383181,Y: 205538,Freehold,,,,,,,Land
10014284272,,Pitman Place play area,,Pitman Place,,Wotton-Under-edge,,X: 376187,Y: 192833,Freehold,,,,,,,Land
10014284149,NOR/PL/01,Innocks Estate play area,,Innocks Estate,North Nibley,Dursley,,X: 373926,Y: 195921,Freehold,,,,,,,Land
10014284154,CAM/Pl/04,Tilsdown Close play area,,Tilsdown Close,Cam,Dursley,,X: 374477,Y: 199596,Freehold,,,,,,,Land
